full_name
Brian Imanuel
Bill Satya
Boediono
Bong Chandra
Bondan Winarno
Brisia Jodie
Beniqno
Benyamin S
Broery Marantika
Boby Tince
Bella Sophie
Bryan Andrew
Baskara Mahendra
Caitlin Halderman
Cakra Konta P
Cantika Abigail Santoso
Carissa Putri
Carlo Saba
Catherine Wilson
Cecep Reza
Cecile Evangelista
Chacha Frederica
Chand Kelvin
Chandra Liow
Chelsea Islan
Chelsea Olivia
Chicco Jerikho
Chicco Kurniawan
Choky Sitohang
Cholidi Asadil
Chrismansyah Rahadi
Christ Laurent
Christian Loho
Christie Jusung
Christina Lie
Christoffer Nelwan
Cynthia Lamusu
Ciccio Manassero
Cinta Penelope
Cinta Rahmania Putri
Cita Citata
Citra Skolastika
Christian Sugiono
Chika Jessica
Clairine Christabel
Clairine Hayes
Claudia Anissa
Cornelia Agatha
Cut Meyriska
Cut Tari
Chrismanto Eka Prastio
Cut Keke
Cassandra Sheryl Lee
Celine Evangelista
Chris John
Cut Syifa
Citra Kirana
Cynthia Ramlan
Caesar gunawan
Clara Sutantio
Christie Julia
Cikallia
Chea Nuh
Citra Lubis
Carissa Perusset
Chantiq Schagerl
Chrissie Vanessa
Cleopatra Djapri
Cut Memey
Cut Mini
Clara Bernadeth
Cheryl Raissa
Cinta Rumana Amelz
Cinta Laura Kiehl
Cikitha Meidy
Cecep Arif Rahman
Christine Hakim
Cathy Natafitria Fakandi
Cut Beby Tshabina
Clarissa Putri 
Chintami Atmanegara
Chintya Sari
Caca Handika
Camelia Malik
Cici Paramida
Chyntiara Alona
Caca Tengker
Dahlan Iskan
Dahlia Poland
Dallas Pratama
Danilla Riyadi
Daniel Mananta
Daniel Topan
Darius Sinathrya
Deddy Corbuzier
Delon Thamrin / Stanislaus
Dena Rachman
Denny Sumargo
Denny Wahyudi
Desta
Deddy Mizwar
Demian Aditya
Derby Romero
Desy Ratnasari
Deva Mahendra
Devina Aureel
Devano Danendra
Dewi Gita
Devi Kinal Putri
Dewi Lestari / Dee Lestari
Dewi Persik
Dewi Rezer
Dewi Sandra
Dewi Yull
Dhani Ahmad Prasetyo
Dhini Aminarti
Di Muhammad Devirzha
Dian Ayu Lestari
Dian Sastrowardoyo
Didi Mahardika
Didi Riyadi
Dion Wiyoko
Dikta Wicaksono
Dimas Anggara
Dimas Beck
Dimas Danang
Dimas Seto
Dinda Kirana
Dini Aminarti
Dita Sumargo
Dude Harlino
Dodit Mulyanto
Donna Harun
Donita
Dorce Gamalama
Derby Romero
Dwi Andhika
Dwi Sasono
Dedi Gumelar
Denira Wiraguna
Dwi Handayani Syah Putri
Dia Sekala Bumi
Dian Pelangi
Dinda Kanya Dewi
David Nurbianto
Dodit Mulyanto 
Dinda Kirana
Dzawin Nur Ikram
Darmin Nasution
Danita Vinarosa
Dhea Annisa (Dea imut)
Dewi Irawan
Dicky Maulana Prasetya
Diah Permatasari
Dellie Threesyadinda
Deswita Maharani
Dr.Boyke
Djuhri Masdjan (Jojon)
Dylan Carr
Dita Fakhrana Utami
Dandy Hendstyo
Dinesia
Daemita Argoebie
Davina Veronica
Della Dartyan
Dhea Seto
Dinda Hauw
Dominique Diyose
Donna Agnesia
Desi Florita
Denny Chandra
Diana Rikasari
Dhana Xaviera
Dira Sugandi
Dipha Barus
Dhea Ananda
Daus Separo
Djenar Maesa Ayu
Dimas Djayadiningrat
Deny Mulyadi (Ohang)
Dennis Adhiswara
Didi Petet
Delania Marvella
Djauhari Oratmangun
David Bayu
Dave Hendrik
Diajeng Lestari
Dedi Mulyadi
Dahnil Anzar
Dea Dalila
Dayu Dara Permata
Darwis Triadi
Donny Damara
Denny Darko
Didiet Maulana
Daniel Wenas
Dave Jephcott
Debo Andryos Aryanto
Dhea Ananda
Debi Sagita
Delia Septianti
Danang Pradana Dieva
Dara Rizky
Dewa Budjana
Dewi Sanca
Dian Nitami
Dhawiya Zaida
Dian Pramana Putra
Didi Kempot
Dodi Hidayatullah
Deddy Dores
Deven Christiandi Putra
Dirly dave Sompie
Duma Riris
Eddy Soepono
Edho Pratama
Edo Borne
Eko Patrio
Elichon Christellgo (igo pentury) 
Ence Bagus
Endy Arfian
Entis Sutisna 
Enzy Historia
Erdian Aji (Anji)
Edric Tjandra
Edward Akbar
Edi John
Ersya Aurelia
Erick Thohir
Ericko Lim
Eriska Rein
Ernest Prakasa
Ersa Mayori
Ervan Naro
Ery Makmur
Esa Sigit
Evie Effendi
Erwin Gutawa
Elly Sugigi
Eva Celia
Evan Sanders
Evelyn Anjani
Elma Agustin
Eko Putro Sandjojo
Enggartiasto Lukita
Eno Bening
Eza Gionino
Ephy Sekuriti
Egy Maulana Vikri
Emil Dardak 
Edho Zell
Eka Gustiwana
Ebiet G. Ade
Elma Theana
Eros Djarot
Edi Brokoli
Epy Kusnandar
Elga Elaskia
Eka Nusa Pertiwi
Elvy Sukaesih
Estelle Linden
Elyzia Muchalela
Eugenie Patricia
Edy Rahmayadi
Enno Lerian
Eza Yayang
Erwin Gutawa
Erie Suzan
Elly Kasim
Eddy Silitonga
Enda (ungu)
Evi Masamba
Faby Marcelia
Fachri Albar
Fachri Muhammad
Fadli Zon
Fairuz A Rafiq
Fandy Christian
Farah Quinn
Fathia Izzati
Fatin Shidqia
Febby Febiola
Febby Rastanti
Fedi Nuril
Felix Siauw
Feni Rose
Fenita Arie
Fitri Tropica
Fevi Hermawan
Filo Sebastian 
Felicya Angelista
Fitri Aulia
Fajar Alfian
Fanny Ghassani
Ferdinand Hutahaean
Fanny Fabriana
Faldo Maldini
Fanny Fadillah
Fathir Muchtar
Fera Feriska
Fauzi Baadila
Fendy Chow
Ferly Putra
Fero Walandouw
Ferry Irawan
Frans Nicholas
Fiersa Besari
Feby Putri
Fahri Ilyas
Fahri Hamzah
Fathi Nurimaniah
Fariz RM
Fitri Ayu
Fitrie Rachmadina
Fahrani
Fay Nabila
Fenita Jayanti
Firrina Sinatrya
Fifie Buntaran
Furry Citra
Ferry Salim
Fita Anggriani Ilham
Fadil Jaidi
Fatih Unru
Fauzan Nasrul
Fakhrul Razi
Farhat Abbas
Feby Febiola
Firman Siagian
Fitri Carlina
Fauzan Mujahid
Gading Marten
Galih Ginanjar
Gamaliel Krisatya Tapiheru
Garneta Haruni
Gary Iskak
Genrifinadi Pamungkas
Georgita Audrey Helena
Ghea Indrawari 
Gilang Dirga
Gilbert Marciano
Gisela Cindy
Gisella Anastasia
Gista Putri
Gita Gutawa
Glenn Alinskie
Glenn Fredly
Giring Ganesha
Gracia Indri
Gempita Noura Marten
Gita Savitri Devi
Ghaida Tsurayya
Greysia Polii
Gunawan Sudrajat
Gatot Nurmantyo
Ganindra Bimo
Grace Natalie
Gamal Albinsaid
Ganjar Pranowo
Ginatri S Noer
Griffiths Anna Gilbert
Gandhi Fernando
Gaizzka Metsu
Giorgino Abraham
Gebi Ramadhan
Garin Nugroho
Gugun Gondrong
Gita Wirjawan
Gita Bhebhita
Gege Elisa
Gesya Shandy
Girindra Kara
Gesata Stella
Gritte Agatha
Ghina Alwi
Gallendra
Gibran Rakabuming Raka
Gus Azmi
Guntur Bumi
Gita Sinaga
Glenn Samuel
Gogo Sinanjuntak
Hamas Syahid
Hamish Daud
Hana Saraswati
Hanan Attaki
Handi Morgan Winata
Haneen Akira
Hanggini P Retto
Hanin Dhiya
Happy Salma
Harun
Hedi Yunus
Helmi Yahya
Hengky Kurniawan
Herjunot Ali
Hesti Purwadinata
Hotman Paris
Hujwiriawan Ewing
Husein Alatas
Haruka Nakagawa
Hamidah Rachmayanti
Hendra Setiawan
Hatta Rajasa
Hidayat Nur Wahid
Hanif Dhakiri
Hary Tanoesodibjo
Henry Baskoro Hendarso (enji)
Hanif Andarevi
Hasto Kristiyanto
Haykal Kamil
Husein Alatas
Hanung Bramantyo
Herfiza Novianti
Hannah Alrasyid
Hengky Solaiman
Hana Prinantina
Harris Illano Vriza
Helmalia Putri
Hardi Fadhillah
Haviza Devi
Haddad Alwi
Hana Saraswati
Handika Pratama
Helena Andrian
Hengky Tornando
I Nyoman Nuarta
Ian Kasela
Ibnu Jamil
Ibrahim Risyad
Ifan Fajarsyah
Ify Alyssa
Ignatius Rosoinaya Penyami
Igor Saykoji
Iis Dahlia
Iko Uwais
Imam Darto
Immanuel Caesar Hito
Indra Bekti
Indra Brotolaras
Indra Bruggman
Indra Herlambang
Indra Lesmana
Indra Sinaga
Indro Warkop
Indy Barends
Inneke Koesherawati
Intan Nuraini
Inul Daratista
Iqbaal Ramadhan
Irish Bella
Irsyadillah
Irwansyah
Isyana Sarasvati
Iwa K
Ivan Gunawan
Iwan Fals
Irfan Hakim
Irvan Farhad
Irvan Setiadi Kartawiria 
Indah Nada Puspita
Indra Gunawan (indra jegel)
Indra Frimawan
Ines Putri
Ida Fauziyah
Isyana Bagus Oka
Imam Nahrawi
Idrus Marham
Ignasius Jonan
Indah Kusuma
Inara Rusli (bexxa)
Ilham Ananta
Ira Koesno
Imam Priyono
Ihsan Tarore
Ibrahim Imran
Indra Birowo
I Gede Ari Astina (Jerinx)
Inka Christie
Ira Maya Sopha
Ifa Isfansyah
Icha Anisa
Indira Kalistha
Ivy Batuta
Imelda Therinne
Ina Marika
Indah Permatasari
Iis Sugianto
Ika Putri
Ikang Fawzi
Jane Shalimar
Jefan Nathanio
Jefri Nichols
Jennifer Dunn
Jeremy Thomas
Jessica Anastasya
Jessica Iskandar
Joe Taslim
Joko Widodo
Jonathan Christie
Jonathan Frizzy
Joshua Suherman
Jovial da Lopez
Joy Destiny Tiurma tobing 
Jihan Fahira
Julie Estelle
Judika Sitohang
Julia Perez
Juna Rorimpandey
Jusuf Kalla
Jessica Mila
Joko Anwar
Juwita Bahar
Jenahara Nasution
Jonas Rivanno
Junior Liem
Jasmine Nadiko
Jihan Audy
Jhon Yewen
Jordi Onsu
Jennifer Coppen
Jennifer Bachdim
Joey Alexander
Jajang C Noer
Jeremy Teti
Jovie Adhiguna Hunter
Jennifer Arnelita
Jihane Almira
Jill Gladys
Joanna Alexandra
Jason Ranti
Jimly Asshidiqie
Josephine Firmstone
Julian Jacob
Jaja Mihardja
Jenita jannet
Jerome Pollin
Joanita chatarine
Jevin Julian
Jang Hansol (Korea Reomit)
Kadek Devi
Kaesang Pangarep
Kamidia Radisti
Karen Vendela
Kartika Yudia
Keenan Pearce
Kemal Pahlevi
Kevin Aprilio
Kevin Julio
Khalid Basalamah
Khoirunisa (Nissa Sabyan)
Kiki Amalia
Kimmy Jayanti
Kunto Aji 
Kris Dayanti
Kriss Hatta
